央视频道,#genre#
CCTV5,http://61.149.237.171:8686/rtp/239.3.1.173:8001
CCTV5,http://114.241.211.77:11111/rtp/239.3.1.173:8001
CCTV5,http://123.114.19.80:4000/rtp/239.3.1.173:8001
CCTV5,http://1.203.184.234:4000/udp/225.1.8.89:8000
CCTV5,http://221.220.132.95:9999/rtp/239.3.1.173:8001
CCTV5,http://222.129.36.60:9001/rtp/239.3.1.173:8001
CCTV5+,http://114.249.221.146:8012/rtp/239.3.1.130:8004
CCTV5+,http://114.246.98.16:8012/rtp/239.3.1.130:8004
CCTV5+,http://221.223.68.239:4022/rtp/239.3.1.130:8004
CCTV5+,http://222.128.172.207:8012/rtp/239.3.1.130:8004
CCTV5+,http://60.26.3.116:7000/udp/225.1.1.121:5002
CCTV5+,http://1.203.184.234:4000/udp/225.1.8.20:8004
CCTV5+,http://114.253.67.40:58888/rtp/239.3.1.130:8004
CCTV5+,http://222.129.36.60:9001/rtp/239.3.1.130:8004
CCTV6,http://221.223.68.239:4022/rtp/239.3.1.174:8001
CCTV6,http://60.26.3.116:7000/udp/225.1.1.195:5002
CCTV6,http://114.253.67.40:58888/rtp/239.3.1.174:8001
CCTV6,http://222.129.36.60:9001/rtp/239.3.1.174:8001
CCTV6,http://1.203.184.234:4000/udp/225.1.8.84:8000
CCTV6,http://221.220.132.95:9999/rtp/239.3.1.174:8001
CCTV7,http://117.13.22.20:8888/udp/225.1.1.138:5002
CCTV7,http://221.223.68.239:4022/rtp/239.3.1.61:8104
CCTV7,http://111.165.82.75:8888/udp/225.1.1.138:5002
CCTV7,http://222.129.32.10:8888/rtp/239.3.1.61:8104
CCTV7,http://114.241.211.77:11111/rtp/239.3.1.61:8104
CCTV7,http://1.203.184.234:4000/udp/225.1.8.7:8104
CCTV7,http://221.220.132.95:9999/rtp/239.3.1.61:8104
CCTV7,http://114.253.67.40:58888/rtp/239.3.1.61:8104
CCTV7,http://222.129.36.60:9001/rtp/239.3.1.61:8104
CCTV8,http://114.243.100.224:8821/rtp/239.3.1.175:8001
CCTV8,http://114.243.107.211:8821/rtp/239.3.1.175:8001
CCTV8,http://114.243.97.103:8821/rtp/239.3.1.175:8001
